Date,Open,High,Low,Close,Adj Close,Volume
2017-04-26,19184.919922,19289.429688,19170.859375,19289.429688,19289.429688,129400
2017-04-27,19205.589844,19281.699219,19199.589844,19251.869141,19251.869141,116700
2017-04-28,19240.650391,19264.570313,19164.679688,19196.740234,19196.740234,117800
2017-05-01,19154.029297,19311.210938,19144.619141,19310.519531,19310.519531,106500
2017-05-02,19335.720703,19464.300781,19335.019531,19445.699219,19445.699219,112700
2017-05-08,19709.009766,19929.480469,19705.130859,19895.699219,19895.699219,148700
2017-05-09,19915.640625,19917.449219,19838.710938,19843.000000,19843.000000,123500
2017-05-10,19890.560547,19938.529297,19866.300781,19900.089844,19900.089844,129000
2017-05-11,19943.949219,19989.939453,19906.349609,19961.550781,19961.550781,136400
2017-05-12,19941.640625,19941.640625,19809.910156,19883.900391,19883.900391,136800
2017-05-15,19753.460938,19869.849609,19740.630859,19869.849609,19869.849609,128300
2017-05-16,19953.060547,19998.490234,19862.410156,19919.820313,19919.820313,131100
2017-05-17,19806.779297,19842.779297,19764.630859,19814.880859,19814.880859,118100
2017-05-18,19556.990234,19601.529297,19449.730469,19553.859375,19553.859375,135700
2017-05-19,19591.410156,19628.640625,19497.289063,19590.759766,19590.759766,115600
2017-05-22,19670.480469,19722.929688,19618.730469,19678.279297,19678.279297,78500
2017-05-23,19647.740234,19693.019531,19585.539063,19613.279297,19613.279297,83400
2017-05-24,19777.560547,19782.810547,19690.099609,19742.980469,19742.980469,101300
2017-05-25,19737.210938,19850.929688,19720.119141,19813.130859,19813.130859,95100
2017-05-26,19798.490234,19801.589844,19686.490234,19686.839844,19686.839844,84500
2017-05-29,19697.179688,19736.619141,19627.189453,19682.570313,19682.570313,67300
2017-05-30,19681.109375,19691.439453,19570.130859,19677.849609,19677.849609,72600
2017-05-31,19630.330078,19673.509766,19589.250000,19650.570313,19650.570313,125100
2017-06-01,19692.160156,19887.660156,19686.320313,19860.029297,19860.029297,103500
2017-06-02,19970.230469,20239.810547,19967.000000,20177.279297,20177.279297,150400
2017-06-05,20135.419922,20224.539063,20104.130859,20170.820313,20170.820313,99100
2017-06-06,20122.259766,20152.949219,19948.019531,19979.900391,19979.900391,102000
2017-06-07,19951.679688,20023.240234,19908.070313,19984.619141,19984.619141,99200
2017-06-08,20048.279297,20061.220703,19896.349609,19909.259766,19909.259766,125300
2017-06-09,19953.060547,20096.009766,19927.070313,20013.259766,20013.259766,145300
2017-06-12,19920.769531,19949.070313,19837.640625,19908.580078,19908.580078,112100
2017-06-13,19859.810547,19929.029297,19850.859375,19898.750000,19898.750000,97200
2017-06-14,19974.560547,20009.929688,19879.599609,19883.519531,19883.519531,92900
2017-06-15,19815.539063,19963.359375,19755.339844,19831.820313,19831.820313,107000
2017-06-16,19931.150391,20015.160156,19884.800781,19943.259766,19943.259766,135300
2017-06-19,19974.300781,20087.710938,19949.880859,20067.750000,20067.750000,79700
2017-06-20,20234.119141,20318.109375,20227.289063,20230.410156,20230.410156,99300
2017-06-21,20192.160156,20215.109375,20117.789063,20138.789063,20138.789063,94900
2017-06-22,20154.380859,20191.419922,20107.890625,20110.509766,20110.509766,84600
2017-06-23,20152.580078,20152.580078,20089.539063,20132.669922,20132.669922,80500
2017-06-26,20132.810547,20196.380859,20119.039063,20153.349609,20153.349609,77000
2017-06-27,20229.119141,20250.099609,20185.189453,20225.089844,20225.089844,90300
2017-06-28,20149.199219,20224.300781,20110.490234,20130.410156,20130.410156,115500
2017-06-29,20260.869141,20266.589844,20197.380859,20220.300781,20220.300781,118800
2017-06-30,20025.630859,20044.009766,19946.509766,20033.429688,20033.429688,116600
2017-07-03,20056.320313,20096.140625,20030.609375,20055.800781,20055.800781,83400
2017-07-04,20192.269531,20197.160156,19971.529297,20032.349609,20032.349609,100300
2017-07-05,20015.070313,20087.009766,19888.900391,20081.630859,20081.630859,94600
2017-07-06,20061.679688,20078.880859,19947.630859,19994.060547,19994.060547,92700
2017-07-07,19856.650391,19979.929688,19856.650391,19929.089844,19929.089844,91900
2017-07-10,20070.439453,20127.759766,20023.029297,20080.980469,20080.980469,85700
2017-07-11,20073.859375,20200.880859,20070.669922,20195.480469,20195.480469,77300
2017-07-12,20137.220703,20153.039063,20061.160156,20098.380859,20098.380859,81400
2017-07-13,20177.279297,20183.800781,20062.269531,20099.810547,20099.810547,90500
2017-07-14,20157.919922,20163.669922,20101.710938,20118.859375,20118.859375,83100
2017-07-17,null,null,null,null,null,null
2017-07-18,20074.410156,20081.289063,19943.140625,19999.910156,19999.910156,93400
2017-07-19,19970.779297,20032.460938,19947.259766,20020.859375,20020.859375,81200
2017-07-20,20046.900391,20157.109375,20032.230469,20144.589844,20144.589844,80800
2017-07-21,20089.859375,20135.330078,20081.910156,20099.750000,20099.750000,78700
2017-07-24,19973.669922,20002.539063,19901.880859,19975.669922,19975.669922,81300
2017-07-25,19979.560547,20036.310547,19941.609375,19955.199219,19955.199219,70100
2017-07-26,20098.140625,20116.000000,20016.580078,20050.160156,20050.160156,85500
2017-07-27,20026.580078,20176.390625,20005.199219,20079.640625,20079.640625,89900
2017-07-28,20048.460938,20056.160156,19926.599609,19959.839844,19959.839844,108500
2017-07-31,19933.449219,19983.900391,19891.900391,19925.179688,19925.179688,140300
2017-08-01,19907.080078,20000.460938,19904.720703,19985.789063,19985.789063,110100
2017-08-02,20057.070313,20113.730469,20022.050781,20080.039063,20080.039063,95600
2017-08-03,20066.000000,20070.160156,19985.400391,20029.259766,20029.259766,89300
2017-08-04,19949.789063,19984.509766,19933.589844,19952.330078,19952.330078,76500
2017-08-07,20059.289063,20085.900391,20037.400391,20055.890625,20055.890625,75300
2017-08-08,20062.650391,20076.800781,19970.570313,19996.009766,19996.009766,80400
2017-08-09,19928.960938,19945.279297,19660.220703,19738.710938,19738.710938,104400
2017-08-10,19792.449219,19829.880859,19685.830078,19729.740234,19729.740234,104200
2017-08-11,null,null,null,null,null,null
2017-08-14,19545.580078,19598.410156,19486.480469,19537.099609,19537.099609,108300
2017-08-15,19689.380859,19824.119141,19656.910156,19753.310547,19753.310547,90300
2017-08-16,19750.550781,19776.859375,19719.080078,19729.279297,19729.279297,69400
2017-08-17,19707.750000,19739.039063,19679.369141,19702.630859,19702.630859,71900
2017-08-18,19471.269531,19543.130859,19433.089844,19470.410156,19470.410156,95700
2017-08-21,19509.529297,19509.529297,19365.650391,19393.130859,19393.130859,75300
2017-08-22,19373.109375,19437.250000,19361.949219,19383.839844,19383.839844,70500
2017-08-23,19547.050781,19561.320313,19408.470703,19434.640625,19434.640625,78500
2017-08-24,19366.359375,19428.550781,19351.919922,19353.769531,19353.769531,75400
2017-08-25,19401.119141,19485.970703,19384.369141,19452.609375,19452.609375,70700
2017-08-28,19502.230469,19535.500000,19420.500000,19449.900391,19449.900391,69500
2017-08-29,19319.109375,19371.900391,19280.019531,19362.550781,19362.550781,75000
2017-08-30,19480.980469,19538.230469,19435.099609,19506.539063,19506.539063,91800
2017-08-31,19591.320313,19687.990234,19583.109375,19646.240234,19646.240234,97900
2017-09-01,19733.570313,19735.960938,19620.070313,19691.470703,19691.470703,79400
2017-09-04,19615.960938,19628.400391,19479.400391,19508.250000,19508.250000,71700
2017-09-05,19533.380859,19542.779297,19354.589844,19385.810547,19385.810547,77600
2017-09-06,19286.060547,19371.380859,19254.669922,19357.970703,19357.970703,88500
2017-09-07,19433.439453,19482.720703,19365.750000,19396.519531,19396.519531,81900
2017-09-08,19297.960938,19357.490234,19239.519531,19274.820313,19274.820313,106600
2017-09-11,19441.390625,19567.029297,19437.140625,19545.769531,19545.769531,78700
2017-09-12,19736.140625,19792.060547,19718.800781,19776.619141,19776.619141,89900
2017-09-13,19873.689453,19888.839844,19845.019531,19865.820313,19865.820313,84500
2017-09-14,19860.369141,19918.390625,19793.849609,19807.439453,19807.439453,93700
2017-09-15,19793.800781,19933.400391,19787.650391,19909.500000,19909.500000,111900
2017-09-18,null,null,null,null,null,null
2017-09-19,20128.179688,20320.779297,20122.000000,20299.380859,20299.380859,120900
2017-09-20,20301.330078,20339.369141,20272.820313,20310.460938,20310.460938,100400
2017-09-21,20456.500000,20481.269531,20332.689453,20347.480469,20347.480469,115900
2017-09-22,20413.609375,20417.070313,20249.240234,20296.449219,20296.449219,95400
2017-09-25,20439.429688,20454.289063,20367.029297,20397.580078,20397.580078,82800
2017-09-26,20349.259766,20385.500000,20303.980469,20330.189453,20330.189453,95000
2017-09-27,20269.820313,20278.089844,20213.660156,20267.050781,20267.050781,63600
2017-09-28,20398.630859,20399.869141,20299.679688,20363.109375,20363.109375,84000
2017-09-29,20315.339844,20370.330078,20285.060547,20356.279297,20356.279297,85100
2017-10-02,20400.509766,20411.330078,20363.279297,20400.779297,20400.779297,67600
2017-10-03,20475.250000,20628.380859,20438.169922,20614.070313,20614.070313,72800
2017-10-04,20660.810547,20689.080078,20592.179688,20626.660156,20626.660156,73500
2017-10-05,20650.710938,20667.470703,20602.259766,20628.560547,20628.560547,57300
2017-10-06,20716.849609,20721.150391,20659.150391,20690.710938,20690.710938,75900
2017-10-09,null,null,null,null,null,null
2017-10-10,20680.539063,20823.660156,20663.080078,20823.509766,20823.509766,78300
2017-10-11,20803.710938,20898.410156,20788.119141,20881.269531,20881.269531,80200
2017-10-12,20958.179688,20994.400391,20917.039063,20954.720703,20954.720703,80400
2017-10-13,20959.660156,21211.289063,20933.000000,21155.179688,21155.179688,110500
2017-10-16,21221.269531,21347.070313,21187.929688,21255.560547,21255.560547,102300
2017-10-17,21352.169922,21393.960938,21230.669922,21336.119141,21336.119141,92400
2017-10-18,21374.660156,21402.759766,21317.669922,21363.050781,21363.050781,72700
2017-10-19,21450.039063,21503.849609,21381.519531,21448.519531,21448.519531,84600
2017-10-20,21390.949219,21489.259766,21363.099609,21457.640625,21457.640625,85700
2017-10-23,21709.300781,21723.599609,21614.509766,21696.650391,21696.650391,87400
2017-10-24,21670.000000,21805.169922,21646.519531,21805.169922,21805.169922,88200
2017-10-25,21900.130859,21921.359375,21648.349609,21707.619141,21707.619141,122000
2017-10-26,21698.949219,21793.619141,21688.560547,21739.779297,21739.779297,82600
